"id","phase","sprint","build_order","module","page","route","main_component","child_components","service_methods","ui_pending","status","owner","remarks"
"1","Phase 1","Sprint 1","1","Branch","Monthly Compliance Workbench","/branch/compliance/monthly","branch-monthly-compliance-page.component","compliance-summary-cards; compliance-filter-bar; compliance-item-table; compliance-item-detail-drawer; document-upload-widget; remarks-timeline","getMonthlyCompliance; getMonthlyComplianceItemById; uploadComplianceDocument; reuploadComplianceDocument; getComplianceHistory","summary cards; status chips; returned highlight; completeness %; item timeline; pending query indicator","Done","FE","Implemented as dedicated branch workbench in branch-mcd component"
"2","Phase 1","Sprint 1","2","Branch","Periodic Uploads Workbench","/branch/uploads/:periodicity","branch-periodic-uploads-page.component","period-selector; document-checklist-grid; upload-row-card; file-preview-modal; review-comments-panel","getPeriodicUploads; uploadPeriodicDocument; getPeriodicUploadHistory; resubmitPeriodicUpload","period selector; upload checklist; file preview; reviewer comments; resubmission status; acknowledgement/reference field","Done","FE+BE","Implemented in branch-returns-filings workspace with status workflow and ack/reference capture"
"3","Phase 1","Sprint 3","3","Branch","Registrations Workspace","/branch/registrations","branch-registrations-page.component","branch-registration-form-wizard; registration-tabs; license-list-table; license-detail-card; expiry-alert-banner; document-checklist; status-timeline","getBranchRegistrations; getBranchRegistrationById; createBranchRegistration; updateBranchRegistration; renewBranchRegistration; amendBranchRegistration","registration tabs; renewal alerts; authority details; amendment history; status timeline","Done","FE+BE","Rebuilt as full branch workspace with list+detail, expiry alerts, checklist and timeline. Added apply/amend/renew/closure wizard that raises registration-tagged COMPLIANCE tickets to CRM for processing"
"4","Phase 1","Sprint 3","4","Branch","Audit Observations Closure","/branch/audits/observations","branch-audit-observations-page.component","observation-list; observation-detail-panel; root-cause-form; corrective-action-form; closure-evidence-upload; observation-timeline","getBranchAuditObservations; getBranchAuditObservationById; submitCorrectiveAction; uploadObservationClosureEvidence","root cause; corrective action; action owner; due date; closure evidence preview; auditor verification status","Done","FE+BE","Rebuilt branch audit-observations as a closure workspace with queue/detail, CAPA root-cause and corrective-action form, action owner and due-date management, evidence upload to ticket thread, and verifier-oriented case timeline"
"5","Phase 1","Sprint 3","5","Branch","Safety Compliance Matrix","/branch/safety","branch-safety-matrix-page.component","safety-periodicity-tabs; safety-category-grid; missing-doc-alerts; incident-log-table; training-records-table; expiry-reminder-list","getSafetyRequirements; getSafetyUploads; uploadSafetyDocument; getSafetyIncidents; getSafetyTrainings","periodicity grouping; missing records; incident block; training records; expiry alerts","Done","FE+BE","Rebuilt /branch/safety into a periodicity-first compliance matrix with required-vs-uploaded coverage, missing and expiry alerts, requirement-wise upload/reupload, and derived incident/training/committee trackers from uploaded safety records"
"6","Phase 1","Sprint 1","6","CRM","Action Dashboard","/crm/dashboard","crm-dashboard-action-page.component","kpi-cards-row; priority-today-list; due-compliances-tabs; risk-client-table; pending-review-widget; branch-alert-widget","getCrmDashboardSummary; getCrmDashboardKpis; getCrmPriorityToday; getCrmTopRiskClients; getCrmLowCoverageBranches; getCrmQueries","KPI cards; due tabs; urgent items; low coverage branches; review shortcuts; ageing indicators","Done","FE+BE","Refactored CRM dashboard into action workbench with KPI drilldowns, due-compliance tab board, low-coverage and pending-doc exception panels, renewals/amendments/registrations board, and month-trend + overdue-ageing widgets"
"7","Phase 1","Sprint 1","7","CRM","Returns Filing Workspace","/crm/returns","crm-returns-workspace-page.component","returns-filter-bar; returns-table; return-detail-drawer; filing-metadata-form; acknowledgement-upload; status-timeline","getCrmReturns; getCrmReturnById; updateCrmReturnStatus; uploadReturnAcknowledgement; getReturnHistory","filing states; ARN/reference field; receipt upload; history timeline; filters by act/period/branch/status","Done","FE+BE","Implemented as list+detail workspace with status transitions and ACK/challan flows"
"8","Phase 1","Sprint 1","8","CRM","Renewals Workspace","/crm/renewals","crm-renewals-workspace-page.component","expiry-queue-table; renewal-detail-panel; document-checklist; crm-notes-panel; owner-assignment-widget; followup-reminder-chip","getCrmRenewals; getCrmRenewalById; updateRenewalStatus; assignRenewalOwner; sendRenewalReminder","expiry list; detail drawer; owner assignment; follow-up reminders; status controls","Done","FE+BE","Implemented queue + detail workspace, owner assignment and reminder actions via due-items request API, status action controls and timeline"
"9","Phase 1","Sprint 3","9","CRM","Amendments Workspace","/crm/amendments","crm-amendments-workspace-page.component","amendment-list-table; amendment-detail-card; authority-reference-panel; progress-steps; comments-thread","getCrmAmendments; getCrmAmendmentById; updateAmendmentStatus; addAmendmentComment","authority reference; timeline; document checklist; comments thread; progress steps","Done","FE+BE","Implemented list+detail workspace with reference panel, progress steps, timeline comments, and status movement controls"
"10","Phase 1","Sprint 3","10","CRM","Audit Management","/crm/audits","crm-audit-management-page.component","audit-calendar; audit-list-table; auditor-assignment-modal; readiness-checklist; report-status-card; capa-summary-widget","getCrmAudits; getCrmAuditById; assignAuditorToAudit; getAuditReadiness; getAuditReportStatus","calendar; auditor assignment; readiness checklist; report status; CAPA summary","Done","FE+BE","Implemented dedicated /crm/audits workspace with queue+detail, schedule modal with auditor assignment, month calendar, readiness checklist, derived report status, and CAPA summary via audit-closures API"
"11","Phase 1","Sprint 2","11","Client","Branch Detail Workspace","/client/branches/:branchId","client-branch-detail-workspace-page.component","branch-header-summary; branch-tabs; branch-compliance-tab; branch-uploads-tab; branch-registrations-tab; branch-safety-tab; branch-audits-tab; branch-employees-tab; branch-contractors-tab","getClientBranchSummary; getClientBranchCompliance; getClientBranchUploads; getClientBranchRegistrations; getClientBranchSafety; getClientBranchAudits; getClientBranchEmployees; getClientBranchContractors","tabbed workspace; risk score; pending items; trend panel; export summary","Done","FE+BE","Implemented full branch workspace tabs with risk score card, pending panel, trend panel, upload/reupload flows, and summary export"
"12","Phase 1","Sprint 2","12","Client","Payroll Monitoring","/client/payroll","client-payroll-monitoring-page.component","payroll-cycle-summary; branch-payroll-status-table; payroll-exception-list; input-pending-widget; approval-queue-card","getClientPayrollRuns; getClientPayrollStatusByBranch; getClientPayrollExceptions; getClientPendingPayrollInputs; getClientPayrollApprovals","cycle summary; branch comparison; exception list; pending inputs; approval queue","Done","FE+BE","Implemented consolidated monitoring workspace with cycle summary cards, branch comparison table, pending/approval queues, exception drilldown, status timeline, attachments, and processed-cycle history"
"13","Phase 1","Sprint 2","13","Client","Registers Download Center","/client/registers","client-registers-download-page.component","register-filter-bar; register-table; register-preview-modal; download-action-cell; source-badge","getClientRegisters; getClientRegisterById; downloadClientRegister","filter by month; filter by branch; source badge; preview modal; bulk pack download","Done","FE+BE","Implemented register download center with branch/period/category filters, source badge (generated/manual), inline preview modal (pdf/image), pagination, and filtered batch download action"
"14","Phase 1","Sprint 3","14","Client","Unified Approvals Center","/client/approvals","client-unified-approvals-page.component","approval-type-tabs; approval-queue-table; approval-detail-drawer; before-after-compare; decision-history-timeline","getClientApprovals; getClientApprovalById; approveClientApproval; rejectClientApproval; getClientApprovalHistory","approval tabs; compare view; decision notes; history timeline; ageing filters","Done","FE+BE","Implemented `/client/approvals` unified queue by aggregating leave + nomination pending APIs, with type tabs, ageing and search filters, compare before/after panel, and timeline-driven decision detail"
"15","Phase 1","Sprint 3","15","Client","Attendance Review + Payroll Handoff","/client/attendance","client-attendance-review-page.component","attendance-import-summary; mismatch-table; lop-preview-card; employee-issue-list; handoff-footer","getAttendanceSummary; getAttendanceMismatches; getLopPreview; approveAttendance; sendAttendanceToPayroll","mismatch resolution; LOP preview; issue list; approve and handoff action","Done","FE+BE","Implemented monthly attendance review workspace with import summary cards, mismatch queue, LOP preview, approval action, and payroll handoff through client payroll input creation + submission"
"16","Phase 1","Sprint 2","16","Payroll","Runs Processing Console","/payroll/runs","payroll-runs-console-page.component","cycle-stepper; input-status-cards; validation-exception-table; payroll-preview-summary; approval-publish-panel; rerun-controls","getPayrollRuns; getPayrollRunById; getPayrollRunValidation; approvePayrollRun; publishPayrollRun; rerunPayrollRun; rollbackPayrollRun","stepper; import status; exception table; preview summary; publish controls; rerun/rollback controls","Done","FE+BE","Implemented step-based runs console with queue+detail view, input import, preview totals, validation exception board, process/approve/publish and rerun controls (rollback surfaced pending backend API)"
"17","Phase 1","Sprint 2","17","Payroll","Structures Builder","/payroll/structures","payroll-structures-builder-page.component","structure-list-panel; formula-builder; component-config-grid; effective-date-picker; calculation-preview-card; version-history-panel","getPayrollStructures; getPayrollStructureById; createPayrollStructure; updatePayrollStructure; previewPayrollStructure","structure list; formula builder; effective date; preview; version history","Done","FE+BE","Rebuilt payroll structures into a builder workspace with client selector, structure list + scope/status filters, effective-date version history, component mapping grid CRUD, formula token helper, and engine preview calculation panel (gross/as-of context)"
"18","Phase 1","Sprint 2","18","Payroll","Rule Sets","/payroll/rule-sets","payroll-rule-sets-page.component","rule-set-table; rule-version-timeline; compare-versions-modal; client-mapping-panel","getPayrollRuleSets; getPayrollRuleSetById; createPayrollRuleSet; updatePayrollRuleSet; getPayrollRuleSetVersions","versions; active/inactive state; comparison; client mapping","Done","FE+BE","Rebuilt rule-sets page into a versioned workbench with client-scoped list/filtering, activation history timeline, effective-date controls, parameter matrix CRUD, quick key presets, and side-by-side version comparison with key-level diff states"
"19","Phase 1","Sprint 2","19","Payroll","Setup Tabs","/payroll/setup","payroll-setup-tabs-page.component","setup-tabs; statutory-config-form; pay-cycle-form; leave-policy-form; attendance-config-form; deduction-rules-form","getPayrollSetup; updatePayrollSetup; getPayrollStatutorySetup; getPayrollCycleSetup","break long page into tabs; validations; save state; effective date display","Done","FE+BE","Refactored payroll setup into 5-tab workspace with section-wise save actions and validations. Added effective-date and last-updated display, preserved backend statutory/pay-cycle persistence, and integrated component/rule management inside deductions tab with modal CRUD"
"20","Phase 1","Sprint 6","20","Payroll","PF/ESI Dashboard","/payroll/pf-esi","payroll-pf-esi-dashboard-page.component","statutory-summary-cards; applicability-gap-table; remittance-status-table; challan-return-panel; employee-exception-drawer","getPfEsiSummary; getPfEsiGaps; getPfEsiRemittances; getPfEsiChallans","applicable not registered; remittance state; challan list; employee exceptions","Done","FE+BE","Rebuilt /payroll/pf-esi into a statutory dashboard with coverage cards, applicable-not-registered exception table + side drawer, run-status-derived remittance board, and PF/ESI challan-return linkage from payroll registers"
"21","Phase 1","Sprint 6","21","Payroll","F&F Lifecycle","/payroll/full-and-final","payroll-ff-lifecycle-page.component","ff-queue-table; employee-separation-card; settlement-breakup-panel; approval-status-badge; document-issue-checklist; ff-timeline","getFullAndFinalCases; getFullAndFinalCaseById; approveFullAndFinal; settleFullAndFinal","case queue; breakup panel; approval state; issue checklist; settlement timeline","Done","FE+BE","Rebuilt F&F module into lifecycle workspace with queue/detail layout, client/status/search filters, settlement breakup and settle action, document issue checklist view, and status timeline; added /payroll/full-and-final route alias with sidebar navigation updated"
"22","Phase 2","Sprint 4","22","Auditor","Audit Cockpit","/auditor/audits/:auditId/workspace","auditor-audit-cockpit-page.component","audit-scope-header; audit-checklist-panel; evidence-tray; observation-builder; severity-selector; report-progress-stepper","getAuditById; getAuditChecklist; getAuditEvidence; createAuditObservation; getAuditReportStatus","cockpit layout; evidence tray; observation builder; severity score; report progress","Done","FE+BE","Rebuilt auditor workspace into cockpit UI with scope summary, checklist, evidence tray + reupload request action, observation builder, severity/risk summary, status transitions, and progress stepper. Added /auditor/audits/:auditId/workspace route plus fallback /auditor/audit-workspace selector"
"23","Phase 2","Sprint 4","23","Auditor","Observations + CAPA Verification","/auditor/observations","auditor-observations-verification-page.component","observation-status-list; branch-response-panel; capa-detail-card; evidence-preview-panel; verification-action-bar","getAuditorObservations; getAuditorObservationById; verifyObservationClosure; reopenObservation","reply panel; CAPA detail; evidence preview; verify/reopen actions; ageing status","Done","FE+BE","Rebuilt auditor observations page into verification workspace with status/risk/ageing list, branch response and CAPA editor panels, evidence path preview links, export PDF action, and lifecycle controls for acknowledge/resolve/verify-close/reopen"
"24","Phase 2","Sprint 4","24","Auditor","Report Builder","/auditor/reports/:auditId/builder","auditor-report-builder-page.component","report-section-nav; report-editor; observation-import-panel; version-toggle; export-lock-bar","getAuditReport; updateAuditReport; finalizeAuditReport; exportAuditReport","section navigation; editor; internal/client version toggle; export/finalize","Done","FE+BE","Added dedicated builder route/page with section editor and observation import. Implemented internal/client version toggle and draft/final lock bar with local draft persistence fallback; wired report PDF export via auditor observations export API and linked builder from reports list"
"25","Phase 2","Sprint 4","25","Contractor","Unified Task Center","/contractor/tasks","contractor-unified-task-center-page.component","task-summary-cards; task-filter-bar; task-list-table; task-detail-drawer; task-action-panel; reupload-history-timeline","getContractorTasks; getContractorTaskById; uploadContractorTaskFile; respondToContractorTask; getContractorTaskHistory","merged task experience; due-date sorting; rejection reason; upload from task; reupload timeline","Done","FE+BE","Rebuilt /contractor/tasks as a single task center merging compliance tasks and reupload requests. Added unified filters, due-date sorting, task/reupload detail panel, direct upload + reply actions, linked reupload visibility, and consolidated history timeline; routed legacy compliance/reupload task paths into this center to reduce duplicate UX"
"26","Phase 2","Sprint 6","26","Contractor","Dashboard Upgrade","/contractor/dashboard","contractor-dashboard-upgrade-page.component","contractor-kpi-cards; license-expiry-widget; pending-upload-list; worker-onboarding-widget; rejected-docs-widget","getContractorDashboardSummary; getContractorExpiries; getContractorRejections","KPI cards; expiry widget; pending uploads; rejected docs; onboarding status","Done","FE+BE","Enhanced /contractor/dashboard with additional operational widgets derived from live contractor task/reupload data: expiring-license queue, pending-upload board, rejected-doc tracker, worker-onboarding pending queue, and branch/client mapping summary, while preserving existing trend and overdue workflows"
"27","Phase 2","Sprint 6","27","Contractor","Profile + Statutory Identity","/contractor/profile","contractor-profile-identity-page.component","company-info-card; statutory-identity-card; contact-persons-table; served-branches-list","getContractorProfile; updateContractorProfile; getContractorBranches","statutory details; contact persons; served branches; signatory details","Done","FE+BE","Implemented contractor identity workspace at /contractor/profile using supported endpoints (/me, /me/profile, /contractor/dashboard, /contractor/documents): editable company/contact basics, statutory identity cards (PF/ESI/license evidence status), contact-signatory table, served branch list, and recent document register"
"28","Phase 2","Sprint 4","28","Admin","Payroll Templates","/admin/payroll/templates","admin-payroll-templates-page.component","template-list-table; template-detail-panel; component-mapping-grid; template-version-history; client-linkage-panel","getAdminPayrollTemplates; getAdminPayrollTemplateById; createAdminPayrollTemplate; updateAdminPayrollTemplate","template list; component mapping; version history; client linkage","Done","FE+BE","Built /admin/payroll/templates with list/detail workbench, template create-update form, component mapping preview from template detail, version-copy utility (next version), and client linkage assignment panel with effective-date history"
"29","Phase 2","Sprint 4","29","Admin","Payroll Client Settings","/admin/payroll/client-settings","admin-payroll-client-settings-page.component","client-selector; client-settings-form; default-statutory-panel; cycle-defaults-panel; settings-history-panel","getAdminPayrollClientSettings; getAdminPayrollClientSettingsByClientId; updateAdminPayrollClientSettings","per-client settings; statutory defaults; cycle defaults; history","Done","FE+BE","Implemented dedicated client settings workspace with client search/filter, statutory and cycle defaults, validation/reminder controls, effective-date fields, and save-history timeline persisted in settings JSON"
"30","Phase 2","Sprint 5","30","Admin","Governance Control Center","/admin/governance","admin-governance-control-page.component","governance-alert-cards; duplicate-mapping-table; stale-account-table; rotation-due-widget; quick-fix-action-panel","getGovernanceSummary; getUnassignedClients; getDuplicateMappings; getRotationDueItems","summary cards; duplicates; stale accounts; rotation due; quick actions","Done","FE+BE","Implemented governance center using dashboard governance feeds with summary cards, unassigned-clients panel, derived duplicate active-mapping alerts, stale-account table, rotation-due queue, and quick remediation links"
"31","Phase 2","Sprint 5","31","Admin","Notifications / Helpdesk Center","/admin/notifications","admin-helpdesk-center-page.component","query-inbox-list; thread-view-panel; reply-composer; priority-chip; sla-age-badge","getAdminNotificationThreads; getAdminNotificationThreadById; replyToAdminNotificationThread","inbox list; thread panel; reply box; priority chips; SLA ageing","Done","FE+BE","Rebuilt admin notifications into a threaded helpdesk center with KPI strip, server filters (status/type/search/unread), local role+priority filtering, SLA-age chips, status transitions (open/in-progress/resolved/closed), and full reply-history view"
"32","Phase 3","Sprint 5","32","CCO","Oversight Exception Center","/cco/oversight","cco-oversight-exception-page.component","risk-summary-cards; delay-pattern-table; top-overdue-list; crm-performance-widget; escalation-queue-panel","getCcoOversightSummary; getCcoDelayPatterns; getCcoEscalations; getCcoCrmPerformance","risk summary; repeated delays; overdue clients; CRM performance; escalations","Done","FE+BE","Rebuilt oversight into exception-first layout with risk cards, repeated-delay patterns, top-overdue clients, CRM performance snapshot, and searchable escalation queue using existing CCO dashboard + oversight APIs"
"33","Phase 3","Sprint 5","33","CCO","Controls Register","/cco/controls","cco-controls-register-page.component","controls-register-table; owner-status-cell; evidence-panel; effectiveness-form; review-history-timeline","getCcoControls; getCcoControlById; updateCcoControl; getCcoControlHistory","controls grid; evidence view; effectiveness form; review history","Done","FE+BE","Reworked /cco/controls to a controls register workspace with filterable table + detail panel, rule configuration save/toggle through existing CCO controls APIs, and owner/evidence/design+operating effectiveness/review-history metadata persisted client-side pending dedicated backend register fields"
"34","Phase 3","Sprint 5","34","CEO","Executive Dashboard Enhancement","/ceo/dashboard","ceo-executive-dashboard-page.component","executive-kpi-cards; trend-chart-card; top-risk-clients-table; branch-ranking-table; closure-trend-widget","getCeoDashboardSummary; getCeoRiskRankings; getCeoDashboardTrends; getCeoAuditClosures","KPI cards; trends; risk tables; ranking tables; closure trend","Done","FE+BE","Enhanced dashboard with branch risk/best rankings, monthly audit closure trend, refreshed executive KPI sections, and expanded board-summary CSV export"
"35","Phase 3","Sprint 5","35","CEO","Executive Reports Pack","/ceo/reports","ceo-executive-reports-page.component","report-pack-selector; report-preview-panel; export-actions-bar; report-history-table","getCeoReportsSummary; getCeoReportPreview; exportCeoReport","report cards; preview; export actions; report history","Done","FE+BE","Rebuilt reports page as report-pack workspace with period selector, pack cards, preview table, CSV/PDF export actions, and persisted export history"
"36","Phase 3","Sprint 6","36","ESS","Attendance + Holiday View","/ess/attendance","ess-attendance-page.component","attendance-calendar; holiday-list-card; attendance-summary-cards; discrepancy-note-panel","getEssAttendance; getEssHolidays; getEssAttendanceSummary","attendance calendar; holiday list; summary cards; discrepancy/help block","Done","FE+BE","Implemented attendance workspace with month selector, summary cards, day-status calendar grid, holiday list, and discrepancy-note panel; backed by new ESS attendance/holiday APIs"
"37","Phase 3","Sprint 6","37","ESS","Document Vault","/ess/documents","ess-document-vault-page.component","document-category-tabs; employee-document-table; document-preview-modal","getEssDocuments; getEssDocumentById; downloadEssDocument","category tabs; preview; downloads; document filters","Done","FE+BE","Implemented document vault with category tabs, year/search filters, metadata table, file preview modal for image/PDF, and secure employee-scoped download APIs"
"38","Phase 2","Sprint 1","38","Shared","Shared File Preview","shared/components/file-preview","shared-file-preview-modal","file-metadata-header; version-history-panel; rejection-reason-box","getFileMetadata; getFileVersions; previewFile; downloadFile","reusable preview; metadata; versions; rejection reasons","Done","FE","Built shared file preview component set and integrated modal usage into ESS Document Vault preview flow"
"39","Phase 2","Sprint 1","39","Shared","Shared Timeline / Audit History","shared/components/timeline","shared-timeline","timeline-event-card; actor-badge; status-change-row","getTimelineHistory","reusable timeline for approvals/reuploads/returns/amendments/observations","Done","FE","Built reusable shared timeline component set for action-history rendering patterns"
"40","Phase 2","Sprint 2","40","Shared","Shared Query / Thread","shared/components/thread","thread-inbox-list","thread-message-panel; reply-composer; sla-priority-strip","getThreads; getThreadById; replyToThread","standard thread UX for Admin/CRM/Client/Branch/Contractor","Done","FE","Built standardized shared thread UI components and integrated them into admin notifications, branch helpdesk/notifications, CRM helpdesk, and shared app-thread-layout used by CRM/Client/Contractor/Payroll thread pages; unified CRM notifications route to helpdesk and retired legacy client query/thread-chat screens in favor of shared client support thread workspace"
"41","Phase 2","Sprint 1","41","Shared","Shared Status UI","shared/components/status","status-chip","priority-chip; due-date-badge; sla-age-badge","N/A","consistent status/priority visuals across modules","Done","FE","Built shared status visual components for status/priority/due-date/SLA display"
"42","Phase 2","Sprint 1","42","Shared","Shared Workspace Layout","shared/components/workspace","detail-drawer-layout","entity-header-strip; action-footer-bar","N/A","standard workspace list/detail shell","Done","FE","Built shared workspace shell components for detail drawer, header strip, and action footer"
